name,price,description,characters
Краска Фасадная Diamond Dulux Professional акриловая гладкая матовая база BW белая (9л),8 250,"Матовая краска для минеральных и деревянных поверхностей Фасадная Diamond гладкая. Сочетает в себе экологичность водной краски и прочность алкидного покрытия. Технология Diamond многократно увеличивает износостойкость окрашенной поверхности. Матовая водно-дисперсионная краска для высококачественной отделки минеральных и деревянных фасадных поверхностей, максимально укрывистая, с нейтральных запахом. Краска создана по технологии ""Алмазная прочность"". Это точно подобранный баланс минеральных наполнителей и эластичного связующего, который формирует долговечное и суперстойкое покрытие. Благодаря оптимальному сочетанию паропроницаемости и водостойкости образует ""дышащее"" покрытие, защищает поверхность от проникновения влаги и пропускает пар изнутри. Активные добавки защищают от грибка и водорослей, а стойкие к выгоранию пигменты сохраняют цвет на долгие годы. Эластичное покрытие устойчиво к образованию микротрещин. Краска легко наносится, не образует потеков.","['Степень блеска поверхности матовая', 'Область применения стены снаружи помещения', 'Защита от плесени, грибка да', 'Колеровка да', 'Тип поверхности кирпич / бетон / дерево / минеральные поверхности / оштукатуренная поверхность / камень', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Краска фасадная водно-дисперсионная Dulux Trade Гладкая База BС матовая - 9 л,8 250,"Краска акриловая для минеральных и деревянных поверхностей Dulux Professional Diamond Фасадная. Цвет — бесцветная, объем упаковки — 9 л. Обладает превосходной укрывистостью и нейтральным запахом.","['Степень блеска поверхности матовая', 'Область применения стены снаружи помещения', 'Защита от плесени, грибка да', 'Колеровка да', 'Тип поверхности кирпич / бетон / дерево / минеральные поверхности / оштукатуренная поверхность / камень', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Краска фасадная Dulux Trade Гладкая Белая матовая - 10 л,8 250,"Краска акриловая для минеральных и деревянных поверхностей Dulux Professional Diamond Фасадная. Цвет — белый, объем упаковки — 10 л. Обладает превосходной укрывистостью и нейтральным запахом.","['Степень блеска поверхности матовая', 'Область применения стены снаружи помещения', 'Защита от плесени, грибка да', 'Колеровка да', 'Тип поверхности кирпич / бетон / дерево / минеральные поверхности / оштукатуренная поверхность / камень', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Краска Symphony Forester 9680 фасадная по дереву база C бесцветная (9л),7 499,Акрилатная шелковисто-матовая эластичная краска Symphony Forester для деревянных фасадов. ,"['Степень блеска поверхности полуматовая', 'Область применения стены снаружи помещения / бревенчатые стены', 'Защита от плесени, грибка да', 'Колеровка да', 'Тип поверхности дерево / пиленная / строганная', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Фасадная краска Marshall Akrikor силикон-акриловая матовая (База BC) бесцветная 9 л,5 399,"Фасадная краска Marshall Akrikor силикон-акриловая матовая. База BC, бесцветная, объем упаковки - 9 л. После нанесение образует прочное покрытие, устойчивое к атмосферным воздействиям. Обладает превосходной адгезией, сохраняет свои защитные свойства на протяжении 15 лет.","['Степень блеска поверхности матовая', 'Защита от плесени, грибка да', 'Колеровка автоматическая', 'Тип поверхности минеральные поверхности', 'Срок службы, 15 лет', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Фасадная краска Marshall Akrikor силикон-акриловая матовая (База BW) белая 9 л,4 649,"Фасадная краска Marshall Akrikor силикон-акриловая матовая. База BW, ","['Степень блеска поверхности матовая', 'Защита от плесени, грибка да', 'Колеровка ручная / автоматическая / готовый цвет', 'Тип поверхности минеральные поверхности', 'Срок службы, 15 лет', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Краска акриловая фасадная Marshall Maestro База BW глубокоматовая - 9 л,4 320,"Краска фасадная Marshall Maestro глубокоматовая. Основа акриловая, база BW. Объем упаковки - 9 л.","['Степень блеска поверхности глубокоматовая', 'Защита от плесени, грибка нет', 'Колеровка ручная / автоматическая / готовый цвет', 'Тип поверхности минеральные поверхности', 'Срок службы, 10 лет', '', '', '', '', '', '', '', '', '', '', '']"
Краска резиновая Dali для кровли цоколя фасада серый 12 кг,3 479,"Краска акриловая Dali резиновая для кровли, цоколя, фасада серая. Вес упаковки — 12 кг. Тиксотропная, наносится без подтеков и разводов даже на фигурные поверхности. Не имеет неприятного запаха.","['Степень блеска поверхности глубокоматовая', 'Тип поверхности кирпич / бетон / дерево / ДВП / ДСП / минеральные поверхности / оштукатуренная поверхность / металл / ГКЛ', 'Колеровка готовый цвет', 'Состав, акриловый', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Краска акриловая фасадная ТЕКС Профи База D матовая - 9 л,3 399,"Краска фасадная ТЕКС Профи. Основа - акриловая. База D, матовый. Объем упаковки - 9 л. ","['Степень блеска поверхности матовая', 'Защита от плесени, грибка да', 'Колеровка автоматическая', 'Тип поверхности минеральные поверхности', 'Срок службы, до 7 лет', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Краска акриловая фасадная ТЕКС Профи Белая матовая - 9 л,3 399,"Краска фасадная ТЕКС Профи. Основа - акриловая. Цвет - белый, матовый. Объем упаковки - 9 л. ","['Степень блеска поверхности матовая', 'Защита от плесени, грибка да', 'Колеровка ручная / автоматическая / готовый цвет', 'Тип поверхности минеральные поверхности', 'Срок службы, до 7 лет', '', '', '', '', '', '', '', '', '', '', '', '', '']"
